Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
125,Deiber Caicedo\9bfa2f52,co COL,FWMF,Vancouver,20,2000,25.0,755,672,83,20,2,147,41,42,51,23,25,1,519,90,146,92,640,13,8,2,571,5,21,35,22,Matches
126,Luís Caicedo\008ddeb9,co COL,MF,New England,24,1996,2.1,81,78,3,3,0,18,2,0,0,0,0,0,65,5,11,14,62,4,0,0,70,0,1,3,1,Matches
127,Scott Caldwell\4a54592d,us USA,MF,New England,29,1991,2.3,102,100,2,2,0,22,2,0,0,0,0,0,80,12,10,29,67,4,0,0,85,0,4,3,3,Matches
128,Alexander Callens\af34f10d,pe PER,DF,NYCFC,28,1992,23.3,1179,1121,58,51,0,126,24,0,0,0,0,0,921,88,170,901,198,48,7,8,1020,5,26,18,10,Matches
129,Francisco Calvo\706bd23f,cr CRC,DF,Chicago Fire,28,1992,16.2,867,795,72,47,0,105,39,6,0,0,0,0,578,96,193,708,73,36,25,2,684,2,17,25,11,Matches
130,Rudy Camacho\6ad16d47,fr FRA,DF,CF Montréal,29,1991,30.5,1708,1617,91,89,2,214,31,5,0,0,0,0,1329,159,220,80,1511,88,1,5,1536,5,20,29,13,Matches
131,Geoff Cameron\1a160ea3,us USA,DF,FC Cincinnati,35,1985,26.3,1188,1166,22,20,1,108,20,6,0,0,0,0,935,89,164,374,736,54,2,0,1050,3,14,19,9,Matches
132,George Campbell\45e1a597,us USA,DF,Atlanta Utd,19,2001,7.0,373,364,9,9,0,37,14,1,0,0,0,0,303,30,40,93,262,14,0,0,327,1,4,8,4,Matches
133,Russell Canouse\ec730d9a,us USA,MF,D.C. United,25,1995,19.0,760,735,25,19,0,123,23,8,0,0,0,0,537,113,110,135,548,47,6,4,612,1,13,29,14,Matches
134,Nathan Cardoso\d4438745,br BRA,DF,San Jose,25,1995,19.2,988,954,34,27,1,105,37,2,0,0,0,0,780,93,115,107,800,44,7,2,850,2,20,28,12,Matches
135,Antonio Carlos\949fe1e8,br BRA,DF,Orlando City,27,1993,26.8,1380,1297,83,81,1,135,81,0,0,0,0,0,1029,147,204,165,1130,45,2,5,1225,2,12,30,14,Matches
136,Wikelman Carmona\cab97dd2,ve VEN,MFFW,NY Red Bulls,17,2003,13.7,385,356,29,8,1,85,12,17,19,5,12,0,260,61,64,313,42,13,2,5,270,3,8,20,29,Matches
137,Julián Carranza\3e9ae1db,ar ARG,FWMF,Inter Miami,20,2000,8.2,181,170,11,0,0,51,2,2,0,0,0,0,138,30,13,22,145,5,1,2,143,0,1,12,7,Matches
138,Adalberto Carrasquilla\f087912d,pa PAN,MF,Houston Dynamo,22,1998,6.2,293,288,5,2,0,49,6,5,0,0,0,0,207,41,45,53,220,13,2,1,231,2,2,19,5,Matches
139,Javier Casas\2ed8d81b,us USA,MF,Chicago Fire,17,2003,0.6,31,31,0,0,0,5,1,0,0,0,0,0,24,4,3,2,26,3,0,0,25,0,0,0,1,Matches
