Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
683,Przemysław Tytoń\1fa85681,pl POL,GK,FC Cincinnati,34,1987,14.3,334,418,79.9,8916,4188,56,57,98.2,174,179,97.2,103,181,56.9,0,0.0,0.0,0,1,0,0,0,Matches
684,Victor Ulloa\e7056f05,us USA,MFDF,Inter Miami,28,1992,13.8,509,606,84.0,9577,2821,211,235,89.8,231,263,87.8,62,93,66.7,2,0.5,+1.5,9,42,8,2,47,Matches
685,Maximiliano Urruti\6c8fb474,ar ARG,FW,Houston Dynamo,29,1991,24.9,336,462,72.7,5784,1295,152,183,83.1,126,161,78.3,36,65,55.4,1,1.9,-0.9,24,27,15,3,36,Matches
686,Júnior Urso\b40424f1,br BRA,MF,Orlando City,31,1989,27.6,1189,1345,88.4,22380,5185,481,534,90.1,534,579,92.2,155,184,84.2,0,1.6,-1.6,20,127,14,1,108,Matches
687,Zarek Valentin\f0d23e7b,pr PUR,DF,Houston Dynamo,29,1991,26.6,963,1262,76.3,19768,8285,337,381,88.5,452,548,82.5,164,284,57.7,1,0.9,+0.1,18,91,12,6,111,Matches
688,Milton Valenzuela\82318d24,ar ARG,DF,Columbus Crew,22,1998,9.7,404,523,77.2,7714,3421,150,170,88.2,194,225,86.2,50,97,51.5,0,0.5,-0.5,8,36,6,3,45,Matches
689,Diego Valeri\31da63ad,ar ARG,MFFW,Portland Timbers,34,1986,13.7,503,708,71.0,9894,3800,215,266,80.8,196,263,74.5,90,147,61.2,1,3.7,-2.7,39,62,23,2,98,Matches
690,Gustavo Vallecilla\2ce88662,ec ECU,DF,FC Cincinnati,21,1999,22.2,871,1010,86.2,19101,5263,245,263,93.2,449,483,93.0,169,244,69.3,0,0.1,-0.1,2,20,1,0,19,Matches
691,Florian Valot\ad454d78,fr FRA,MFFW,FC Cincinnati,27,1993,3.7,149,179,83.2,2759,741,64,71,90.1,66,79,83.5,17,24,70.8,0,0.2,-0.2,6,13,2,0,18,Matches
692,Florian Valot\ad454d78,fr FRA,MFDF,NY Red Bulls,27,1993,1.1,32,51,62.7,468,96,18,21,85.7,12,16,75.0,1,11,9.1,0,0.0,0.0,0,2,0,0,2,Matches
693,José Van Rankin\09ce2ebe,mx MEX,DF,Portland Timbers,27,1993,27.2,1152,1395,82.6,19391,8387,579,623,92.9,459,552,83.2,91,171,53.2,2,1.2,+0.8,13,81,24,7,117,Matches
694,Freddy Vargas\3c1e61cf,ve VEN,FW,FC Dallas,21,1999,6.0,152,216,70.4,2571,984,79,101,78.2,48,67,71.6,21,35,60.0,0,1.1,-1.1,12,8,10,3,21,Matches
695,Obed Vargas\9cc1fde4,us USA,FW,Seattle,15,2005,0.8,12,13,92.3,188,49,5,6,83.3,5,5,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Matches
696,Indiana Vassilev\04e195ee,us USA,FWMF,Inter Miami,19,2001,8.9,207,246,84.1,3371,602,113,121,93.4,69,81,85.2,19,29,65.5,0,0.4,-0.4,6,11,9,1,18,Matches
697,Brandon Vazquez\c570cf22,us USA,FW,FC Cincinnati,22,1998,9.5,161,209,77.0,2903,341,71,88,80.7,54,67,80.6,26,33,78.8,3,1.8,+1.2,13,7,6,3,10,Matches
698,Víctor Vázquez\6c564d36,es ESP,MFFW,LA Galaxy,34,1987,18.1,910,1119,81.3,18082,5585,381,417,91.4,336,384,87.5,169,273,61.9,5,6.0,-1.0,56,101,46,8,135,Matches
699,Carlos Vela\e0cd04e0,mx MEX,FW,Los Angeles FC,31,1989,14.1,418,578,72.3,7588,2637,195,235,83.0,163,192,84.9,53,117,45.3,5,4.8,+0.2,37,30,41,4,78,Matches
700,Matías Vera\fe529f25,ar ARG,MF,Houston Dynamo,25,1995,27.2,948,1062,89.3,19333,5100,346,387,89.4,424,451,94.0,164,194,84.5,1,1.7,-0.7,27,111,17,0,103,Matches
701,Kenneth Vermeer\22a94b80,nl NED,GK,FC Cincinnati,35,1986,18.7,380,524,72.5,9705,4558,86,86,100.0,185,188,98.4,105,246,42.7,0,0.6,-0.6,1,4,3,0,1,Matches
702,Ranko Veselinović\366609b6,rs SRB,DF,Vancouver,21,1999,22.2,790,923,85.6,18754,5894,158,181,87.3,440,464,94.8,188,264,71.2,0,0.3,-0.3,2,35,4,1,34,Matches
703,Jorge Villafaña\32337fb2,us USA,DF,LA Galaxy,31,1989,18.8,802,966,83.0,14241,5050,368,392,93.9,337,391,86.2,82,138,59.4,0,0.5,-0.5,6,57,18,10,53,Matches
